imsi,time_s,from_cell_id,to_cell_id,prev_time_s,delta_s,from_rnti,to_rnti
8,0.9055,3,1,0.808268,0.09723199999999999,4,7
8,1.2687,1,3,0.9055,0.36319999999999997,7,4
8,1.3551,3,1,1.2687,0.08640000000000003,4,7
8,1.4159,1,3,1.3551,0.060799999999999965,7,4
8,1.7055,3,1,1.4159,0.2896000000000001,4,7
8,2.5085,1,2,1.7055,0.8030000000000002,7,13
8,2.6063,2,1,2.50927,0.09703000000000017,13,7
8,3.3533,1,3,2.6063,0.7469999999999999,7,14
8,3.3903,3,1,3.35402,0.03628000000000009,14,7
8,3.5343,1,3,3.3903,0.14400000000000013,7,14
8,3.5693,3,2,3.5343,0.03500000000000014,14,19
8,3.5855,2,1,3.57002,0.01548000000000016,19,7
9,0.0783,2,1,0.0542151,0.024084899999999992,3,1
9,0.7039,1,2,0.0783,0.6255999999999999,1,3
9,0.8047,2,1,0.7039,0.1008,3,1
9,2.6413,1,3,0.8047,1.8366000000000002,1,10
9,2.6479,3,1,2.64202,0.005879999999999885,10,1
9,2.6927,1,3,2.6479,0.04479999999999995,1,10
9,2.7071,3,1,2.6927,0.01440000000000019,10,1
9,2.7663,1,3,2.7071,0.05920000000000014,1,10
9,2.7743,3,1,2.7663,0.008000000000000007,10,1
9,2.7807,1,3,2.7743,0.006399999999999739,1,10
9,2.7903,3,1,2.7807,0.009599999999999831,10,1
9,2.7951,1,3,2.7903,0.0048000000000003595,1,10
9,2.8703,3,1,2.7951,0.07519999999999971,10,1
9,2.9007,1,3,2.8703,0.030400000000000205,1,10
9,2.9151,3,1,2.9007,0.014399999999999746,10,1
9,3.0127,1,3,2.9151,0.09760000000000035,1,10
9,3.0319,3,1,3.0127,0.019199999999999662,10,1
9,3.0431,1,3,3.0319,0.011200000000000099,1,10
9,3.0559,3,1,3.0431,0.012799999999999923,10,1
10,0.0799,5,1,0.0542152,0.0256848,4,6
10,0.3039,1,5,0.0799,0.224,6,4
10,0.3279,5,1,0.3039,0.02400000000000002,4,6
10,0.5295,1,5,0.3279,0.20159999999999995,6,4
10,0.5439,5,1,0.5295,0.01440000000000008,4,6
10,1.3501,1,2,0.5439,0.8062,6,10
10,1.3711,2,1,1.35077,0.02032999999999996,10,6
10,1.4287,1,2,1.3711,0.057600000000000096,6,10
10,1.5183,2,1,1.4287,0.0895999999999999,10,6
10,1.6047,1,2,1.5183,0.08640000000000003,6,10
10,1.6735,2,1,1.6047,0.06879999999999997,10,6
10,1.7023,1,2,1.6735,0.028799999999999937,6,10
10,1.7247,2,1,1.7023,0.022399999999999975,10,6
10,1.7407,1,2,1.7247,0.016000000000000014,6,10
10,2.2047,2,1,1.7407,0.46399999999999997,10,6
10,2.7055,1,2,2.2047,0.5007999999999999,6,10
10,2.8063,2,1,2.7055,0.1008,10,6
10,3.0093,1,4,2.8063,0.2030000000000003,6,5
10,3.1071,4,1,3.01002,0.09708000000000006,5,6
10,3.7071,1,4,3.1071,0.6000000000000001,6,5
10,3.9101,4,2,3.7071,0.20299999999999985,5,23
11,0.0591,4,1,0.0542153,0.004884699999999999,2,2
11,0.1039,1,4,0.0591,0.044800000000000006,2,2
11,1.0569,4,2,0.1039,0.953,2,8
12,0.0847,3,1,0.0542154,0.0304846,1,8
12,0.7071,1,3,0.0847,0.6224,8,1
12,0.7551,3,1,0.7071,0.04800000000000004,1,8
12,0.8351,1,3,0.7551,0.07999999999999996,8,1
12,0.8623,3,1,0.8351,0.027200000000000002,1,8
12,1.2879,1,3,0.8623,0.4256000000000001,8,1
12,1.4047,3,1,1.2879,0.11680000000000001,1,8
12,2.2847,1,3,1.4047,0.8799999999999999,8,1
12,2.3231,3,1,2.2847,0.03840000000000021,1,8
12,2.3375,1,3,2.3231,0.014399999999999746,8,1
12,2.6463,3,1,2.3375,0.3088000000000002,1,8
12,3.0383,1,3,2.6463,0.3919999999999999,8,1
12,3.0543,3,1,3.0383,0.016000000000000014,1,8
