event_id	handover_time_s	imsi	target_cell_id	pre_rows	post_rows	pre_loss_pct	post_loss_pct	delta_loss_pct	pre_thr_rx_mbps	post_thr_rx_mbps	delta_thr_rx_mbps	pre_mean_delay_s	post_mean_delay_s	delta_mean_delay_s	pre_weighted_delay_s	post_weighted_delay_s	delta_weighted_delay_s
1	0.150768	6	3	12	24	61.985018726591800	67.45332337565350	5.468304649061710	42.5488	114.06616	71.51736	0.027600358333333300	0.0865260375	0.05892567916666670	0.02404273805418720	0.07512211725562190	0.05107937920143470
2	0.608268	1	3	24	24	70.39465388979950	81.78477195627590	11.390118066476400	122.78964	101.16224	-21.62740000000000	0.17854875416666700	0.24598452500000000	0.0674357708333333	0.16031895664395200	0.21798650786342500	0.057667551219472400
3	0.741268	6	2	24	24	69.84641397773710	83.10678200188990	13.260368024152900	112.0216	121.654	9.63239999999999	0.22439420416666700	0.24101573750000000	0.016621533333333400	0.19505487004672900	0.24106412710843400	0.046009257061704800
4	0.808268	8	3	24	24	81.78477195627590	78.27392871445740	-3.510843241818560	101.16224	113.58496	12.422720000000000	0.24598452500000000	0.28632382083333300	0.04033929583333340	0.21798650786342500	0.28039526576036900	0.06240875789694390
5	0.859518	6	3	24	24	83.10678200188990	77.79369627507160	-5.313085726818300	121.654	89.05512	-32.598880000000000	0.24101573750000000	0.34244490833333300	0.10142917083333300	0.24106412710843400	0.33316006885630500	0.09209594174787120
6	0.909268	3	5	24	24	83.10678200188990	77.79369627507160	-5.313085726818300	121.654	89.05512	-32.598880000000000	0.24101573750000000	0.34244490833333300	0.10142917083333300	0.24106412710843400	0.33316006885630500	0.09209594174787120
7	1.00827	6	2	24	24	78.27392871445740	67.10117019700790	-11.172758517449500	113.58496	116.08796	2.503	0.28632382083333300	0.417981	0.13165717916666700	0.28039526576036900	0.43741912381810000	0.15702385805773100
8	1.05327	3	2	24	24	77.79369627507160	71.42131979695430	-6.372376478117320	89.05512	117.81352	28.758400000000000	0.34244490833333300	0.4695766666666670	0.12713175833333300	0.33316006885630500	0.4708065910301950	0.13764652217389000
9	1.05752	11	2	24	24	77.79369627507160	71.42131979695430	-6.372376478117320	89.05512	117.81352	28.758400000000000	0.34244490833333300	0.4695766666666670	0.12713175833333300	0.33316006885630500	0.4708065910301950	0.13764652217389000
10	1.14427	6	3	24	24	77.79369627507160	71.42131979695430	-6.372376478117320	89.05512	117.81352	28.758400000000000	0.34244490833333300	0.4695766666666670	0.12713175833333300	0.33316006885630500	0.4708065910301950	0.13764652217389000
11	1.30927	6	2	24	24	71.42131979695430	77.47772076694570	6.056400969991400	117.81352	131.00324	13.189720000000000	0.4695766666666670	0.4066787916666670	-0.06289787500000000	0.4708065910301950	0.35209803321342900	-0.11870855781676600
12	1.35077	10	2	24	24	71.95037904893180	81.92337361789660	9.972994568964860	127.75456	110.50204	-17.252520000000000	0.4234570708333330	0.4009058458333330	-0.022551225000000000	0.36883449422604400	0.4161619062114750	0.047327411985430400
13	1.50927	7	5	24	24	77.47772076694570	76.88726978344470	-0.5904509835010710	131.00324	119.67204	-11.33120000000000	0.4066787916666670	0.37822411250000000	-0.028454679166666600	0.35209803321342900	0.4103086995183890	0.058210666304959500
14	1.70927	7	4	24	24	76.88726978344470	76.91553026586870	0.02826048242408770	119.67204	123.2972	3.625160000000010	0.37822411250000000	0.39807694583333300	0.01985283333333330	0.4103086995183890	0.3743618784530390	-0.035946821065350100
15	1.81002	1	2	24	24	79.3168370091447	68.46983951300500	-10.846997496139700	120.8868	119.4196	-1.4671999999999900	0.3703067666666670	0.4964372083333330	0.1261304416666670	0.36182197633290000	0.44011990403685800	0.07829792770395840
16	1.85477	1	3	24	24	76.91553026586870	60.61174704447360	-16.303783221395100	123.2972	109.9876	-13.309600000000000	0.39807694583333300	0.6609785	0.26290155416666700	0.3743618784530390	0.5844970752739400	0.2101351968209010
17	1.91077	2	3	24	24	76.91553026586870	60.61174704447360	-16.303783221395100	123.2972	109.9876	-13.309600000000000	0.39807694583333300	0.6609785	0.26290155416666700	0.3743618784530390	0.5844970752739400	0.2101351968209010
18	2.21002	2	5	24	24	59.56777171632400	73.72427101200690	14.156499295682900	100.9748	128.4324	27.4576	0.7715005000000000	0.7312593458333340	-0.04024115416666630	0.7046953580695380	0.65675883374133	-0.04793652432820820
19	2.30927	7	2	24	24	68.70121561100450	69.83773464842510	1.136519037420600	128.1704	99.3504	-28.820000000000000	0.7817206666666670	0.7178947958333330	-0.06382587083333340	0.6538555163532300	0.7434854910864980	0.08962997473326810
20	2.50927	8	2	24	24	69.83773464842510	75.71445235040240	5.8767177019773600	99.3504	109.0968	9.746400000000010	0.7178947958333330	0.8329030416666670	0.11500824583333300	0.7434854910864980	0.8050997415946210	0.06161425050812280
21	2.51077	7	3	24	24	69.83773464842510	75.71445235040240	5.8767177019773600	99.3504	109.0968	9.746400000000010	0.7178947958333330	0.8329030416666670	0.11500824583333300	0.7434854910864980	0.8050997415946210	0.06161425050812280
22	2.61002	7	2	24	24	57.783364760108900	89.30667848045190	31.523313720342900	105.586	101.1844	-4.401600000000000	0.7583688666666670	0.8280313208333330	0.06966245416666670	0.7513283288337470	0.8051345127913000	0.05380618395755300
23	2.64202	9	3	24	24	57.783364760108900	89.30667848045190	31.523313720342900	105.586	101.1844	-4.401600000000000	0.7583688666666670	0.8280313208333330	0.06966245416666670	0.7513283288337470	0.8051345127913000	0.05380618395755300
24	2.82752	1	2	24	24	89.30667848045190	80.87962962962960	-8.427048850822250	101.1844	108.206	7.0216000000000100	0.8280313208333330	0.8317153416666670	0.0036840208333331900	0.8051345127913000	0.7789855158353510	-0.026148996955948700
25	2.88202	1	3	24	24	89.74682849140540	83.66480622592560	-6.082022265479720	97.8308	108.8872	11.05640000000000	0.7381149125	0.8557618333333330	0.11764692083333300	0.7177919803963580	0.8391144619826760	0.12132248158631800
26	2.89627	1	2	24	24	89.74682849140540	83.66480622592560	-6.082022265479720	97.8308	108.8872	11.05640000000000	0.7381149125	0.8557618333333330	0.11764692083333300	0.7177919803963580	0.8391144619826760	0.12132248158631800
27	2.91077	7	4	24	24	89.74682849140540	83.66480622592560	-6.082022265479720	97.8308	108.8872	11.05640000000000	0.7381149125	0.8557618333333330	0.11764692083333300	0.7177919803963580	0.8391144619826760	0.12132248158631800
28	3.01002	10	4	24	24	80.87962962962960	85.71319777625470	4.833568146625040	108.206	98.3024	-9.903600000000000	0.8317153416666670	0.7607660375000000	-0.07094930416666670	0.7789855158353510	0.8480057361407250	0.0690202203053738
29	3.01152	2	3	24	24	80.87962962962960	85.71319777625470	4.833568146625040	108.206	98.3024	-9.903600000000000	0.8317153416666670	0.7607660375000000	-0.07094930416666670	0.7789855158353510	0.8480057361407250	0.0690202203053738
30	3.09327	1	3	24	24	83.66480622592560	75.5457308648798	-8.11907536104583	108.8872	92.748	-16.139200000000000	0.8557618333333330	0.7391691875	-0.11659264583333300	0.8391144619826760	0.832240515819209	-0.006873946163466700
