time_s	imsi	cell_id	rnti
2.7743	7	2	14
2.7743	9	1	1
2.7807	9	3	10
2.7903	9	1	1
2.7951	9	3	10
2.8063	7	1	3
2.8063	10	1	6
2.8269	1	2	15
2.82752	1	2	15
2.82752	1	2	15
2.82752	1	2	15
2.82752	1	2	15
2.8671	1	1	9
2.8703	9	1	1
2.8813	1	3	11
2.88202	1	3	11
2.88202	1	3	11
2.88202	1	3	11
2.88202	1	3	11
2.88202	1	3	11
2.8957	1	2	16
2.89627	1	2	16
2.89627	1	2	16
2.89627	1	2	16
2.89627	1	2	16
2.89627	1	2	16
2.89627	1	2	16
2.9007	9	3	10
2.9071	2	5	8
2.9101	7	4	4
2.91077	7	4	4
2.91077	7	4	4
2.91077	7	4	4
2.91077	7	4	4
2.91077	7	4	4
2.91077	7	4	4
2.9151	9	1	1
3.0063	7	1	3
3.0093	10	4	5
3.01002	10	4	5
3.01002	10	4	5
3.0109	2	3	12
3.01152	2	3	12
3.01152	2	3	12
3.01152	2	3	12
3.0127	9	3	10
3.0319	9	1	1
3.0383	12	3	1
3.0431	1	1	9
3.0431	9	3	10
3.0543	12	1	8
3.0559	9	1	1
3.0719	1	2	16
3.0925	1	3	13
3.09327	1	3	13
3.09327	1	3	13
3.09327	1	3	13
3.09327	1	3	13
3.09327	1	3	13
3.09327	1	3	13
3.09327	1	3	13
3.1071	2	1	11
3.1071	10	1	6
3.1133	1	2	17
3.11402	1	2	17
3.11402	1	2	17
3.11402	1	2	17
3.11402	1	2	17
3.11402	1	2	17
3.11402	1	2	17
3.11402	1	2	17
3.11402	1	2	17
3.1263	7	4	4
3.2269	7	2	18
3.22752	7	2	18
3.22752	7	2	18
3.22752	7	2	18
3.22752	7	2	18
3.22752	7	2	18
3.22752	7	2	18
3.22752	7	2	18
3.3533	8	3	14
3.35402	8	3	14
3.35402	8	3	14
3.35402	8	3	14
3.3811	3	4	6
3.38177	3	4	6
3.38177	3	4	6
3.38177	3	4	6
3.3903	8	1	7
3.4079	2	3	12
3.4367	2	1	11
3.5023	2	3	12
3.5087	2	1	11
3.5343	8	3	14
3.5453	1	3	15
3.54602	1	3	15
3.54602	1	3	15
3.54602	1	3	15
3.54602	1	3	15
3.54602	1	3	15
3.54602	1	3	15
3.54602	1	3	15
3.54602	1	3	15
3.54602	1	3	15
3.5693	8	2	19
3.57002	8	2	19
3.57002	8	2	19
3.57002	8	2	19
3.57002	8	2	19
3.5789	7	4	7
3.57952	7	4	7
3.57952	7	4	7
3.57952	7	4	7
3.57952	7	4	7
3.57952	7	4	7
3.57952	7	4	7
3.57952	7	4	7
3.57952	7	4	7
3.5855	8	1	7
3.6109	1	2	20
3.61152	1	2	20
3.61152	1	2	20
3.61152	1	2	20
3.61152	1	2	20
3.61152	1	2	20
3.61152	1	2	20
3.61152	1	2	20
3.61152	1	2	20
3.61152	1	2	20
3.61152	1	2	20
3.6431	2	3	12
3.6703	2	1	11
3.7071	10	4	5
3.7263	7	1	3
3.7759	2	3	12
3.7807	7	4	7
3.8143	7	1	3
3.8447	2	1	11
3.8921	3	2	21
