start_s,end_s,cell_id,imsi,rnti,lcid,n_tx_pdus,tx_bytes,n_rx_pdus,rx_bytes,delay_s,delay_std_dev_s,delay_min_s,delay_max_s,pdu_size_bytes,pdu_size_std_dev_bytes,pdu_size_min_bytes,pdu_size_max_bytes
0.4,0.5,1,5,12,3,198,259380,172,225320,0.0525117,0.065477,0.00102296,0.159494,1310,0.0,1310.0,1310.0
0.4,0.5,1,6,10,3,198,259380,58,75980,0.151788,0.0252871,0.130493,0.327575,1310,0.0,1310.0,1310.0
0.4,0.5,1,7,3,3,198,259380,58,75980,0.140352,0.0259891,0.117992,0.318324,1310,0.0,1310.0,1310.0
0.4,0.5,1,8,7,3,744,974640,51,66810,0.075403,0.0618736,0.00349125,0.157991,1310,0.0,1310.0,1310.0
0.4,0.5,1,9,1,3,198,259380,64,83840,0.24074,0.0217562,0.20549,0.27599,1310,0.0,1310.0,1310.0
0.4,0.5,1,10,6,3,198,259380,57,74670,0.218875,0.0118254,0.200489,0.241489,1310,0.0,1310.0,1310.0
0.4,0.5,1,11,2,3,198,259380,64,83840,0.159152,0.0125246,0.136488,0.180988,1310,0.0,1310.0,1310.0
0.4,0.5,1,12,8,3,198,259380,57,74670,0.240759,0.0191661,0.209987,0.271987,1310,0.0,1310.0,1310.0
0.5,0.6,1,1,9,3,198,259380,59,77290,0.190526,0.0245601,0.163499,0.345581,1310,0.0,1310.0,1310.0
0.5,0.6,1,2,11,3,1567,2052770,353,460680,0.201122,0.10104,0.0109977,0.342498,1305,72.7918,71.0,1322.0
0.5,0.6,1,3,5,3,198,259380,64,83864,0.367498,0.0350009,0.189579,0.396497,1310,2.10442,1310.0,1322.0
0.5,0.6,1,4,4,3,198,259380,145,189950,0.0854003,0.0836619,0.00147047,0.200496,1310,0.0,1310.0,1310.0
0.5,0.6,1,5,12,3,198,259380,156,204360,0.0669838,0.086144,0.0010051,0.201494,1310,0.0,1310.0,1310.0
0.5,0.6,1,6,10,3,198,259380,60,78600,0.1852,0.0456076,0.156493,0.435325,1310,0.0,1310.0,1310.0
0.5,0.6,1,7,3,3,198,259380,83,108730,0.224164,0.0963692,0.154992,0.416824,1310,0.0,1310.0,1310.0
0.5,0.6,1,8,7,3,198,259380,57,74670,0.032579,0.0114061,0.0124913,0.0524913,1310,0.0,1310.0,1310.0
0.5,0.6,1,9,1,3,198,259380,58,75980,0.312033,0.019748,0.28099,0.34299,1310,0.0,1310.0,1310.0
0.5,0.6,1,10,6,3,882,1155420,62,81220,0.198747,0.111462,0.00598909,0.288489,1310,0.0,1310.0,1310.0
0.5,0.6,1,11,2,3,198,259380,58,75980,0.198712,0.0125297,0.180488,0.221488,1310,0.0,1310.0,1310.0
0.5,0.6,1,12,8,3,198,259380,58,75980,0.30803,0.019748,0.276987,0.338987,1310,0.0,1310.0,1310.0
0.6,0.7,1,1,9,3,198,259380,64,83840,0.23521,0.0134237,0.211499,0.258999,1310,0.0,1310.0,1310.0
0.6,0.7,1,2,11,3,490,641900,57,73536,0.37746,0.0211305,0.30933,0.409498,1290,109.831,668.0,1322.0
0.6,0.7,1,3,5,3,198,259380,60,78600,0.412854,0.0208164,0.298829,0.437497,1310,0.0,1310.0,1310.0
0.6,0.7,1,4,4,3,198,259380,164,214840,0.0810382,0.0996267,0.00132761,0.239496,1310,0.0,1310.0,1310.0
0.6,0.7,1,5,12,3,198,259380,153,200430,0.0824046,0.10508,0.0010051,0.235994,1310,0.0,1310.0,1310.0
0.6,0.7,1,6,10,3,198,259380,65,85150,0.219829,0.0421372,0.194993,0.542325,1310,0.0,1310.0,1310.0
