imsi,time_s,from_cell_id,to_cell_id,prev_time_s,delta_s,from_rnti,to_rnti
7,6.0687,1,2,4.4159,1.6528,3,23
7,6.0783,2,1,6.0687,0.009599999999999831,23,3
7,6.0895,1,2,6.0783,0.011200000000000543,3,23
7,6.0991,2,1,6.0895,0.009599999999999831,23,3
7,6.1103,1,2,6.0991,0.011199999999999655,3,23
7,6.2079,2,1,6.1103,0.0976000000000008,23,3
7,6.3071,1,2,6.2079,0.09919999999999973,3,23
7,6.3295,2,1,6.3071,0.022400000000000198,23,3
7,6.3455,1,2,6.3295,0.016000000000000014,3,23
7,6.4079,2,1,6.3455,0.062399999999999345,23,3
8,0.3519,5,1,0.0542151,0.2976849,3,7
8,0.3759,1,5,0.3519,0.02400000000000002,7,3
8,0.4047,5,1,0.3759,0.028799999999999992,3,7
8,0.4783,1,5,0.4047,0.0736,7,3
8,0.7119,5,1,0.4783,0.23359999999999997,3,7
8,0.8077,1,3,0.7119,0.0958,7,4
8,0.9055,3,1,0.808268,0.09723199999999999,4,7
8,1.2687,1,3,0.9055,0.36319999999999997,7,4
8,1.3551,3,1,1.2687,0.08640000000000003,4,7
8,1.4159,1,3,1.3551,0.060799999999999965,7,4
8,1.7055,3,1,1.4159,0.2896000000000001,4,7
8,2.4333,1,5,1.7055,0.7278,7,10
8,2.4943,5,1,2.43402,0.06028000000000011,10,7
8,2.5709,1,3,2.4943,0.0766,7,9
8,2.5839,3,1,2.57152,0.012379999999999836,9,7
8,2.5853,1,2,2.5839,0.00140000000000029,7,13
8,2.5933,2,3,2.58602,0.007280000000000175,13,10
8,2.6175,3,1,2.59402,0.023480000000000167,10,7
8,2.8317,1,2,2.6175,0.21419999999999995,7,16
8,2.8703,2,1,2.83227,0.03803000000000001,16,7
8,2.8991,1,2,2.8703,0.028799999999999937,7,16
8,3.0735,2,1,2.8991,0.17440000000000033,16,7
8,3.4639,1,2,3.0735,0.3904000000000001,7,16
8,3.5055,2,1,3.4639,0.04159999999999986,16,7
8,3.6351,1,2,3.5055,0.12959999999999994,7,16
8,3.6959,2,1,3.6351,0.060799999999999965,16,7
8,3.7071,1,2,3.6959,0.011200000000000099,7,16
8,6.6797,2,5,3.7071,2.9726000000000004,16,24
9,0.0783,2,1,0.0542151,0.024084899999999992,3,1
9,0.7039,1,2,0.0783,0.6255999999999999,1,3
9,0.8047,2,1,0.7039,0.1008,3,1
9,3.9677,1,5,0.8047,3.163,1,17
9,4.0079,5,1,3.96827,0.039630000000000276,17,1
9,4.2093,1,2,4.0079,0.20139999999999958,1,22
9,4.3071,2,1,4.21002,0.09708000000000006,22,1
9,4.5853,1,5,4.3071,0.2782,1,20
9,4.6079,5,1,4.58602,0.021879999999999455,20,1
9,4.7119,1,5,4.6079,0.10400000000000009,1,20
9,4.8079,5,1,4.7119,0.09600000000000009,20,1
9,5.1471,1,5,4.8079,0.33919999999999995,1,20
9,5.2109,5,2,5.1471,0.06379999999999963,20,24
9,5.3071,2,1,5.21152,0.09558,24,1
9,5.7215,1,2,5.3071,0.41439999999999966,1,24
9,5.7501,2,5,5.7215,0.02859999999999996,24,21
9,5.7535,5,1,5.75077,0.002729999999999677,21,1
9,5.8175,1,5,5.7535,0.06400000000000006,1,21
9,5.9103,5,1,5.8175,0.09280000000000044,21,1
9,6.0127,1,5,5.9103,0.10239999999999938,1,21
9,6.0239,5,1,6.0127,0.011200000000000543,21,1
9,6.0943,1,5,6.0239,0.07039999999999935,1,21
9,6.1341,5,3,6.0943,0.0398000000000005,21,11
9,6.3117,3,2,6.13477,0.17693000000000048,11,27
9,6.3725,2,5,6.31227,0.060229999999999784,27,22
9,6.3727,5,1,6.3725,0.00020000000000042206,22,1
9,6.37327,1,5,6.3727,0.0005699999999997374,1,22
9,6.3789,5,2,6.37327,0.005630000000000024,22,28
9,6.3791,2,1,6.3789,0.00020000000000042206,28,1
9,6.37952,1,2,6.3791,0.00042000000000008697,1,28
9,6.3823,2,1,6.37952,0.0027799999999995606,28,1
9,6.4125,1,5,6.3823,0.030199999999999783,1,23
9,6.5487,5,1,6.41327,0.13543000000000038,23,1
10,0.0799,5,1,0.0542152,0.0256848,4,6
