event_id	handover_time_s	imsi	target_cell_id	pre_rows	post_rows	pre_loss_pct	post_loss_pct	delta_loss_pct	pre_thr_rx_mbps	post_thr_rx_mbps	delta_thr_rx_mbps	pre_mean_delay_s	post_mean_delay_s	delta_mean_delay_s	pre_weighted_delay_s	post_weighted_delay_s	delta_weighted_delay_s
31	3.05002	10	4	24	24	66.28171763175020	76.24549501801990	9.963777386269770	108.6252	117.41884	8.793640000000000	0.7190651458333330	0.8157175416666670	0.0966523958333334	0.6584399300530630	0.6783925921463630	0.019952662093299900
32	3.15077	10	2	24	24	65.79375406636300	80.5336869147261	14.739932848363100	110.1972	123.07804	12.880840000000000	0.7490011208333330	0.8800466666666670	0.13104554583333300	0.6710850858773180	0.7010426002554280	0.029957514378109700
33	3.20177	11	5	24	24	65.79375406636300	80.5336869147261	14.739932848363100	110.1972	123.07804	12.880840000000000	0.7490011208333330	0.8800466666666670	0.13104554583333300	0.6710850858773180	0.7010426002554280	0.029957514378109700
34	3.22752	3	5	24	24	65.79375406636300	80.5336869147261	14.739932848363100	110.1972	123.07804	12.880840000000000	0.7490011208333330	0.8800466666666670	0.13104554583333300	0.6710850858773180	0.7010426002554280	0.029957514378109700
35	3.31077	3	4	24	24	76.24549501801990	85.9681038142017	9.722608796181770	117.41884	121.2536	3.834760000000000	0.8157175416666670	0.9243745416666670	0.108657	0.6783925921463630	0.744482665514261	0.06609007336789790
36	3.31877	2	2	24	24	76.24549501801990	85.9681038142017	9.722608796181770	117.41884	121.2536	3.834760000000000	0.8157175416666670	0.9243745416666670	0.108657	0.6783925921463630	0.744482665514261	0.06609007336789790
37	3.35077	11	2	24	24	80.5336869147261	84.6401286690792	4.106441754353100	123.07804	120.1008	-2.977240000000000	0.8800466666666670	0.9185874208333330	0.03854075416666670	0.7010426002554280	0.738938597513089	0.03789599725766110
38	3.38602	11	5	24	24	80.5336869147261	84.6401286690792	4.106441754353100	123.07804	120.1008	-2.977240000000000	0.8800466666666670	0.9185874208333330	0.03854075416666670	0.7010426002554280	0.738938597513089	0.03789599725766110
39	3.41152	2	5	24	24	80.5336869147261	84.6401286690792	4.106441754353100	123.07804	120.1008	-2.977240000000000	0.8800466666666670	0.9185874208333330	0.03854075416666670	0.7010426002554280	0.738938597513089	0.03789599725766110
40	3.53627	11	2	24	24	85.9681038142017	76.82967214924390	-9.13843166495785	121.2536	109.9876	-11.266000000000000	0.9243745416666670	0.9875021125	0.0631275708333332	0.744482665514261	0.8122012388756550	0.06771857336139410
41	3.56827	2	2	24	24	84.6401286690792	78.63032524049470	-6.009803428584460	120.1008	97.7784	-22.322400000000000	0.9185874208333330	1.0449882791666700	0.12640085833333300	0.738938597513089	0.9441645028403000	0.20522590532721100
42	3.96827	9	5	24	24	57.34427609427610	54.86299937251620	-2.4812767217598800	106.2148	113.0792	6.864400000000000	1.1704299625000000	1.25368	0.08325003750000000	1.0556120560927500	1.1329550120481900	0.07734295595544510
43	4.01152	3	5	24	24	57.34427609427610	54.86299937251620	-2.4812767217598800	106.2148	113.0792	6.864400000000000	1.1704299625000000	1.25368	0.08325003750000000	1.0556120560927500	1.1329550120481900	0.07734295595544510
44	4.21002	9	2	24	24	54.86299937251620	85.16943930991990	30.306439937403700	113.0792	126.1268	13.047600000000000	1.25368	1.3437511958333300	0.09007119583333360	1.1329550120481900	1.4119552717075200	0.27900025965932700
45	4.31077	11	5	24	24	80.80645161290320	77.40076824583870	-3.4056833670645700	112.2408	147.9776	35.7368	1.2913612083333300	1.3590705708333300	0.06770936250000030	1.189925582633050	1.2782255371813000	0.08829995454825010
46	4.33477	7	2	24	24	80.80645161290320	77.40076824583870	-3.4056833670645700	112.2408	147.9776	35.7368	1.2913612083333300	1.3590705708333300	0.06770936250000030	1.189925582633050	1.2782255371813000	0.08829995454825010
47	4.58602	9	5	24	24	75.89444554259740	91.74627435995420	15.851828817356800	127.8036	101.8656	-25.938000000000000	1.4133244166666700	1.2894066208333300	-0.12391779583333300	1.1286703185731900	1.2761243213991800	0.1474540028259910
48	5.21152	9	2	24	24	84.12687048041810	70.29376893689900	-13.833101543519200	116.1708	118.162	1.9912000000000100	1.3939280000000000	1.1589771166666700	-0.23495088333333300	1.2874060356337400	1.0869557587583100	-0.2004502768754250
49	5.31227	10	4	24	24	84.74712336098470	80.98624940730200	-3.7608739536827000	119.472	105.062	-14.410000000000000	1.2561197416666700	1.2466470833333300	-0.009472658333333330	1.199194127631580	1.184941020448880	-0.014253107182701000
50	5.37152	3	2	24	24	70.29376893689900	81.82886057648870	11.535091639589700	118.162	105.3764	-12.785600000000000	1.1589771166666700	1.3287425291666700	0.1697654125000000	1.0869557587583100	1.2553211335653900	0.1683653748070760
51	5.41152	10	2	24	24	70.29376893689900	81.82886057648870	11.535091639589700	118.162	105.3764	-12.785600000000000	1.1589771166666700	1.3287425291666700	0.1697654125000000	1.0869557587583100	1.2553211335653900	0.1683653748070760
52	5.75077	9	5	24	24	78.52748755004390	73.07923530119030	-5.448252248853610	115.2276	117.3236	2.0960000000000000	1.3015687166666700	1.1813509458333300	-0.1202177708333330	1.1886280805820800	1.2125909379633800	0.02396285738129380
53	6.13477	9	3	24	24	88.11827956989250	61.76515969757750	-26.35311987231500	115.804	129.8472	14.043200000000000	1.2470937625000000	1.1405339666666700	-0.10655979583333400	1.238017672081450	1.142897839386600	-0.09511983269484590
54	6.31227	9	2	24	24	61.76515969757750	59.23315477868620	-2.5320049188913200	129.8472	151.5408	21.693600000000000	1.1405339666666700	1.1802577916666700	0.039723825000000000	1.142897839386600	1.0674764640387300	-0.07542137534787450
55	6.37327	9	5	24	24	60.90286174929460	79.06228253305500	18.159420783760300	152.484	126.1268	-26.357200000000000	1.1607853333333300	1.1979981666666700	0.03721283333333330	1.0395637615120300	1.191892296634820	0.15232853512278700
56	6.37952	9	2	24	24	60.90286174929460	79.06228253305500	18.159420783760300	152.484	126.1268	-26.357200000000000	1.1607853333333300	1.1979981666666700	0.03721283333333330	1.0395637615120300	1.191892296634820	0.15232853512278700
57	6.41327	9	5	24	24	60.90286174929460	79.06228253305500	18.159420783760300	152.484	126.1268	-26.357200000000000	1.1607853333333300	1.1979981666666700	0.03721283333333330	1.0395637615120300	1.191892296634820	0.15232853512278700
58	6.68027	8	5	12	0	86.03440470801270	0.0	-86.03440470801270	64.6616	0.0	-64.6616	1.18421525	0.0	-1.18421525	1.1618600688816900	0.0	-1.1618600688816900
